	Eul_d	Eul_f	Pla_a	Eur_b	Eul_a	Bra_a	Pte_a	Tor_a	Eul_c	Eup_a	Pte_d	Tor_b	Pte_c	Eul_h	Pte_b	Aph_b	Bra_b	Pte_e	Eup_b	Eul_b	Eul_g	Eul_i	Eup_c	Pte_f	Aph_a	Enc_a	Enc_b	Eul_e	Eur_a	Fig_a	Mym_a	Pte_g	Tor_d	Dip_a	Dip_b	Dip_c	Dip_d
Sho_l	176	71	2	0	11	0	9	1	0	4	0	12	0	0	7	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sho_g	37	40	0	0	6	2	10	8	4	1	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cyl_g	0	1	11	0	0	4	0	5	0	4	8	0	9	2	0	0	1	2	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	1	1	0	0
Fus_g	4	3	18	0	6	0	1	0	12	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Sph_l	0	0	23	0	0	14	0	1	0	3	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Bud_g	0	1	0	40	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphg	0	0	14	0	1	3	0	2	0	1	4	0	0	0	0	5	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Vei_l	0	2	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vei_g	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Fus_l	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Con_l	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
