Paras;Galha;Frequencia
Eul_d;Ram;213
Eul_f;Ram;111
Pla_a;Ram;2
Eul_a;Ram;17
Bra_a;Ram;2
Pte_a;Ram;19
Tor_a;Ram;9
Eul_c;Ram;4
Eup_a;Ram;5
Tor_b;Ram;12
Pte_b;Ram;7
Pte_e;Ram;2
Eup_b;Ram;3
Eul_b;Ram;3
Mym_a;Ram;1
Tor_d;Ram;1
Eul_f;Ner;2
Eul_a;Ner;6
Tor_b;Ner;1
Pte_c;Ner;1
Eul_g;Ner;2
Eul_i;Ner;1
Eul_e;Ner;1
Eul_f;Cil;1
Pla_a;Cil;11
Bra_a;Cil;4
Tor_a;Cil;5
Eup_a;Cil;4
Pte_d;Cil;8
Pte_c;Cil;9
Eul_h;Cil;2
Bra_b;Cil;1
Pte_e;Cil;2
Eul_i;Cil;1
Eup_c;Cil;1
Pte_f;Cil;2
Enc_b;Cil;1
Dip_a;Cil;1
Dip_b;Cil;1
Eul_f;Con;3
Pla_a;Esf;37
Eul_a;Esf;1
Bra_a;Esf;17
Tor_a;Esf;3
Eup_a;Esf;4
Pte_d;Esf;5
Eul_h;Esf;1
Aph_b;Esf;5
Bra_b;Esf;4
Pte_e;Esf;1
Eup_b;Esf;1
Eup_c;Esf;1
Aph_a;Esf;1
Enc_a;Esf;1
Eur_a;Esf;1
Pte_g;Esf;1
Eul_d;Esp;4
Eul_f;Esp;3
Pla_a;Esp;18
Eul_a;Esp;9
Pte_a;Esp;1
Eul_c;Esp;12
Pte_d;Esp;1
Eul_h;Esp;5
Fig_a;Esp;1
Dip_c;Esp;1
Dip_d;Esp;1
Eul_f;Gem;1
Eur_b;Gem;40
Tor_a;Gem;1
Eup_a;Gem;1
