Galha;Paras;Frequencia
Ram;Eul_d;213
Ram;Eul_f;111
Ram;Pla_a;2
Ram;Eul_a;17
Ram;Bra_a;2
Ram;Pte_a;19
Ram;Tor_a;9
Ram;Eul_c;4
Ram;Eup_a;5
Ram;Tor_b;12
Ram;Pte_b;7
Ram;Pte_e;2
Ram;Eup_b;3
Ram;Eul_b;3
Ram;Mym_a;1
Ram;Tor_d;1
Ner;Eul_f;2
Ner;Eul_a;6
Ner;Tor_b;1
Ner;Pte_c;1
Ner;Eul_g;2
Ner;Eul_i;1
Ner;Eul_e;1
Cil;Eul_f;1
Cil;Pla_a;11
Cil;Bra_a;4
Cil;Tor_a;5
Cil;Eup_a;4
Cil;Pte_d;8
Cil;Pte_c;9
Cil;Eul_h;2
Cil;Bra_b;1
Cil;Pte_e;2
Cil;Eul_i;1
Cil;Eup_c;1
Cil;Pte_f;2
Cil;Enc_b;1
Cil;Dip_a;1
Cil;Dip_b;1
Con;Eul_f;3
Esf;Pla_a;37
Esf;Eul_a;1
Esf;Bra_a;17
Esf;Tor_a;3
Esf;Eup_a;4
Esf;Pte_d;5
Esf;Eul_h;1
Esf;Aph_b;5
Esf;Bra_b;4
Esf;Pte_e;1
Esf;Eup_b;1
Esf;Eup_c;1
Esf;Aph_a;1
Esf;Enc_a;1
Esf;Eur_a;1
Esf;Pte_g;1
Esp;Eul_d;4
Esp;Eul_f;3
Esp;Pla_a;18
Esp;Eul_a;9
Esp;Pte_a;1
Esp;Eul_c;12
Esp;Pte_d;1
Esp;Eul_h;5
Esp;Fig_a;1
Esp;Dip_c;1
Esp;Dip_d;1
Gem;Eul_f;1
Gem;Eur_b;40
Gem;Tor_a;1
Gem;Eup_a;1
