Morfotipo;Genero;Frequencia
Eul_d;Asphondylia;213
Eul_f;Asphondylia;113
Pla_a;Asphondylia;2
Eur_b;Asphondylia;0
Eul_a;Asphondylia;23
Bra_a;Asphondylia;2
Pte_a;Asphondylia;19
Tor_a;Asphondylia;9
Eul_c;Asphondylia;4
Eup_a;Asphondylia;5
Pte_d;Asphondylia;0
Tor_b;Asphondylia;13
Pte_c;Asphondylia;1
Eul_h;Asphondylia;0
Pte_b;Asphondylia;7
Aph_b;Asphondylia;0
Bra_b;Asphondylia;0
Pte_e;Asphondylia;2
Eup_b;Asphondylia;3
Eul_b;Asphondylia;3
Eul_g;Asphondylia;2
Eul_i;Asphondylia;1
Eup_c;Asphondylia;0
Pte_f;Asphondylia;0
Aph_a;Asphondylia;0
Enc_a;Asphondylia;0
Enc_b;Asphondylia;0
Eul_e;Asphondylia;1
Eur_a;Asphondylia;0
Fig_a;Asphondylia;0
Mym_a;Asphondylia;1
Pte_g;Asphondylia;0
Tor_d;Asphondylia;1
Dip_a;Asphondylia;0
Dip_b;Asphondylia;0
Dip_c;Asphondylia;0
Dip_d;Asphondylia;0
Eul_d;Liodiplosis;0
Eul_f;Liodiplosis;4
Pla_a;Liodiplosis;48
Eur_b;Liodiplosis;0
Eul_a;Liodiplosis;1
Bra_a;Liodiplosis;21
Pte_a;Liodiplosis;0
Tor_a;Liodiplosis;8
Eul_c;Liodiplosis;0
Eup_a;Liodiplosis;8
Pte_d;Liodiplosis;13
Tor_b;Liodiplosis;0
Pte_c;Liodiplosis;9
Eul_h;Liodiplosis;3
Pte_b;Liodiplosis;0
Aph_b;Liodiplosis;5
Bra_b;Liodiplosis;5
Pte_e;Liodiplosis;3
Eup_b;Liodiplosis;1
Eul_b;Liodiplosis;0
Eul_g;Liodiplosis;0
Eul_i;Liodiplosis;1
Eup_c;Liodiplosis;2
Pte_f;Liodiplosis;2
Aph_a;Liodiplosis;1
Enc_a;Liodiplosis;1
Enc_b;Liodiplosis;1
Eul_e;Liodiplosis;0
Eur_a;Liodiplosis;1
Fig_a;Liodiplosis;0
Mym_a;Liodiplosis;0
Pte_g;Liodiplosis;1
Tor_d;Liodiplosis;0
Dip_a;Liodiplosis;1
Dip_b;Liodiplosis;1
Dip_c;Liodiplosis;0
Dip_d;Liodiplosis;0
Eul_d;Mikaniadiplosis;4
Eul_f;Mikaniadiplosis;3
Pla_a;Mikaniadiplosis;18
Eur_b;Mikaniadiplosis;0
Eul_a;Mikaniadiplosis;9
Bra_a;Mikaniadiplosis;0
Pte_a;Mikaniadiplosis;1
Tor_a;Mikaniadiplosis;0
Eul_c;Mikaniadiplosis;12
Eup_a;Mikaniadiplosis;0
Pte_d;Mikaniadiplosis;1
Tor_b;Mikaniadiplosis;0
Pte_c;Mikaniadiplosis;0
Eul_h;Mikaniadiplosis;5
Pte_b;Mikaniadiplosis;0
Aph_b;Mikaniadiplosis;0
Bra_b;Mikaniadiplosis;0
Pte_e;Mikaniadiplosis;0
Eup_b;Mikaniadiplosis;0
Eul_b;Mikaniadiplosis;0
Eul_g;Mikaniadiplosis;0
Eul_i;Mikaniadiplosis;0
Eup_c;Mikaniadiplosis;0
Pte_f;Mikaniadiplosis;0
Aph_a;Mikaniadiplosis;0
Enc_a;Mikaniadiplosis;0
Enc_b;Mikaniadiplosis;0
Eul_e;Mikaniadiplosis;0
Eur_a;Mikaniadiplosis;0
Fig_a;Mikaniadiplosis;1
Mym_a;Mikaniadiplosis;0
Pte_g;Mikaniadiplosis;0
Tor_d;Mikaniadiplosis;0
Dip_a;Mikaniadiplosis;0
Dip_b;Mikaniadiplosis;0
Dip_c;Mikaniadiplosis;1
Dip_d;Mikaniadiplosis;1
Eul_d;Perasphondylia;0
Eul_f;Perasphondylia;1
Pla_a;Perasphondylia;0
Eur_b;Perasphondylia;40
Eul_a;Perasphondylia;0
Bra_a;Perasphondylia;0
Pte_a;Perasphondylia;0
Tor_a;Perasphondylia;1
Eul_c;Perasphondylia;0
Eup_a;Perasphondylia;1
Pte_d;Perasphondylia;0
Tor_b;Perasphondylia;0
Pte_c;Perasphondylia;0
Eul_h;Perasphondylia;0
Pte_b;Perasphondylia;0
Aph_b;Perasphondylia;0
Bra_b;Perasphondylia;0
Pte_e;Perasphondylia;0
Eup_b;Perasphondylia;0
Eul_b;Perasphondylia;0
Eul_g;Perasphondylia;0
Eul_i;Perasphondylia;0
Eup_c;Perasphondylia;0
Pte_f;Perasphondylia;0
Aph_a;Perasphondylia;0
Enc_a;Perasphondylia;0
Enc_b;Perasphondylia;0
Eul_e;Perasphondylia;0
Eur_a;Perasphondylia;0
Fig_a;Perasphondylia;0
Mym_a;Perasphondylia;0
Pte_g;Perasphondylia;0
Tor_d;Perasphondylia;0
Dip_a;Perasphondylia;0
Dip_b;Perasphondylia;0
Dip_c;Perasphondylia;0
Dip_d;Perasphondylia;0
