Genero;Morfotipo;Frequencia
Asphondylia;Eul_d;213
Asphondylia;Eul_f;113
Asphondylia;Pla_a;2
Asphondylia;Eur_b;0
Asphondylia;Eul_a;23
Asphondylia;Bra_a;2
Asphondylia;Pte_a;19
Asphondylia;Tor_a;9
Asphondylia;Eul_c;4
Asphondylia;Eup_a;5
Asphondylia;Pte_d;0
Asphondylia;Tor_b;13
Asphondylia;Pte_c;1
Asphondylia;Eul_h;0
Asphondylia;Pte_b;7
Asphondylia;Aph_b;0
Asphondylia;Bra_b;0
Asphondylia;Pte_e;2
Asphondylia;Eup_b;3
Asphondylia;Eul_b;3
Asphondylia;Eul_g;2
Asphondylia;Eul_i;1
Asphondylia;Eup_c;0
Asphondylia;Pte_f;0
Asphondylia;Aph_a;0
Asphondylia;Enc_a;0
Asphondylia;Enc_b;0
Asphondylia;Eul_e;1
Asphondylia;Eur_a;0
Asphondylia;Fig_a;0
Asphondylia;Mym_a;1
Asphondylia;Pte_g;0
Asphondylia;Tor_d;1
Asphondylia;Dip_a;0
Asphondylia;Dip_b;0
Asphondylia;Dip_c;0
Asphondylia;Dip_d;0
Liodiplosis;Eul_d;0
Liodiplosis;Eul_f;4
Liodiplosis;Pla_a;48
Liodiplosis;Eur_b;0
Liodiplosis;Eul_a;1
Liodiplosis;Bra_a;21
Liodiplosis;Pte_a;0
Liodiplosis;Tor_a;8
Liodiplosis;Eul_c;0
Liodiplosis;Eup_a;8
Liodiplosis;Pte_d;13
Liodiplosis;Tor_b;0
Liodiplosis;Pte_c;9
Liodiplosis;Eul_h;3
Liodiplosis;Pte_b;0
Liodiplosis;Aph_b;5
Liodiplosis;Bra_b;5
Liodiplosis;Pte_e;3
Liodiplosis;Eup_b;1
Liodiplosis;Eul_b;0
Liodiplosis;Eul_g;0
Liodiplosis;Eul_i;1
Liodiplosis;Eup_c;2
Liodiplosis;Pte_f;2
Liodiplosis;Aph_a;1
Liodiplosis;Enc_a;1
Liodiplosis;Enc_b;1
Liodiplosis;Eul_e;0
Liodiplosis;Eur_a;1
Liodiplosis;Fig_a;0
Liodiplosis;Mym_a;0
Liodiplosis;Pte_g;1
Liodiplosis;Tor_d;0
Liodiplosis;Dip_a;1
Liodiplosis;Dip_b;1
Liodiplosis;Dip_c;0
Liodiplosis;Dip_d;0
Mikaniadiplosis;Eul_d;4
Mikaniadiplosis;Eul_f;3
Mikaniadiplosis;Pla_a;18
Mikaniadiplosis;Eur_b;0
Mikaniadiplosis;Eul_a;9
Mikaniadiplosis;Bra_a;0
Mikaniadiplosis;Pte_a;1
Mikaniadiplosis;Tor_a;0
Mikaniadiplosis;Eul_c;12
Mikaniadiplosis;Eup_a;0
Mikaniadiplosis;Pte_d;1
Mikaniadiplosis;Tor_b;0
Mikaniadiplosis;Pte_c;0
Mikaniadiplosis;Eul_h;5
Mikaniadiplosis;Pte_b;0
Mikaniadiplosis;Aph_b;0
Mikaniadiplosis;Bra_b;0
Mikaniadiplosis;Pte_e;0
Mikaniadiplosis;Eup_b;0
Mikaniadiplosis;Eul_b;0
Mikaniadiplosis;Eul_g;0
Mikaniadiplosis;Eul_i;0
Mikaniadiplosis;Eup_c;0
Mikaniadiplosis;Pte_f;0
Mikaniadiplosis;Aph_a;0
Mikaniadiplosis;Enc_a;0
Mikaniadiplosis;Enc_b;0
Mikaniadiplosis;Eul_e;0
Mikaniadiplosis;Eur_a;0
Mikaniadiplosis;Fig_a;1
Mikaniadiplosis;Mym_a;0
Mikaniadiplosis;Pte_g;0
Mikaniadiplosis;Tor_d;0
Mikaniadiplosis;Dip_a;0
Mikaniadiplosis;Dip_b;0
Mikaniadiplosis;Dip_c;1
Mikaniadiplosis;Dip_d;1
Perasphondylia;Eul_d;0
Perasphondylia;Eul_f;1
Perasphondylia;Pla_a;0
Perasphondylia;Eur_b;40
Perasphondylia;Eul_a;0
Perasphondylia;Bra_a;0
Perasphondylia;Pte_a;0
Perasphondylia;Tor_a;1
Perasphondylia;Eul_c;0
Perasphondylia;Eup_a;1
Perasphondylia;Pte_d;0
Perasphondylia;Tor_b;0
Perasphondylia;Pte_c;0
Perasphondylia;Eul_h;0
Perasphondylia;Pte_b;0
Perasphondylia;Aph_b;0
Perasphondylia;Bra_b;0
Perasphondylia;Pte_e;0
Perasphondylia;Eup_b;0
Perasphondylia;Eul_b;0
Perasphondylia;Eul_g;0
Perasphondylia;Eul_i;0
Perasphondylia;Eup_c;0
Perasphondylia;Pte_f;0
Perasphondylia;Aph_a;0
Perasphondylia;Enc_a;0
Perasphondylia;Enc_b;0
Perasphondylia;Eul_e;0
Perasphondylia;Eur_a;0
Perasphondylia;Fig_a;0
Perasphondylia;Mym_a;0
Perasphondylia;Pte_g;0
Perasphondylia;Tor_d;0
Perasphondylia;Dip_a;0
Perasphondylia;Dip_b;0
Perasphondylia;Dip_c;0
Perasphondylia;Dip_d;0
