Planta;Paras;Inter
Glo;Eul_d;41
Glo;Eul_f;45
Glo;Pla_a;43
Glo;Eur_b;40
Glo;Eul_a;14
Glo;Bra_a;9
Glo;Pte_a;11
Glo;Tor_a;16
Glo;Eul_c;16
Glo;Eup_a;7
Glo;Pte_d;13
Glo;Tor_b;0
Glo;Pte_c;10
Glo;Eul_h;7
Glo;Pte_b;0
Glo;Aph_b;5
Glo;Bra_b;4
Glo;Pte_e;3
Glo;Eup_b;1
Glo;Eul_b;3
Glo;Eul_g;2
Glo;Eul_i;2
Glo;Eup_c;1
Glo;Pte_f;2
Glo;Aph_a;1
Glo;Enc_a;0
Glo;Enc_b;1
Glo;Eul_e;1
Glo;Eur_a;0
Glo;Fig_a;1
Glo;Mym_a;1
Glo;Pte_g;1
Glo;Tor_d;0
Glo;Dip_a;1
Glo;Dip_b;1
Glo;Dip_c;1
Glo;Dip_d;0
Lae;Eul_d;176
Lae;Eul_f;76
Lae;Pla_a;25
Lae;Eur_b;0
Lae;Eul_a;19
Lae;Bra_a;14
Lae;Pte_a;9
Lae;Tor_a;2
Lae;Eul_c;0
Lae;Eup_a;7
Lae;Pte_d;1
Lae;Tor_b;13
Lae;Pte_c;0
Lae;Eul_h;1
Lae;Pte_b;7
Lae;Aph_b;0
Lae;Bra_b;1
Lae;Pte_e;2
Lae;Eup_b;3
Lae;Eul_b;0
Lae;Eul_g;0
Lae;Eul_i;0
Lae;Eup_c;1
Lae;Pte_f;0
Lae;Aph_a;0
Lae;Enc_a;1
Lae;Enc_b;0
Lae;Eul_e;0
Lae;Eur_a;1
Lae;Fig_a;0
Lae;Mym_a;0
Lae;Pte_g;0
Lae;Tor_d;1
Lae;Dip_a;0
Lae;Dip_b;0
Lae;Dip_c;0
Lae;Dip_d;1
