Paras;Planta;Inter
Eul_d;Glo;41
Eul_f;Glo;45
Pla_a;Glo;43
Eur_b;Glo;40
Eul_a;Glo;14
Bra_a;Glo;9
Pte_a;Glo;11
Tor_a;Glo;16
Eul_c;Glo;16
Eup_a;Glo;7
Pte_d;Glo;13
Tor_b;Glo;0
Pte_c;Glo;10
Eul_h;Glo;7
Pte_b;Glo;0
Aph_b;Glo;5
Bra_b;Glo;4
Pte_e;Glo;3
Eup_b;Glo;1
Eul_b;Glo;3
Eul_g;Glo;2
Eul_i;Glo;2
Eup_c;Glo;1
Pte_f;Glo;2
Aph_a;Glo;1
Enc_a;Glo;0
Enc_b;Glo;1
Eul_e;Glo;1
Eur_a;Glo;0
Fig_a;Glo;1
Mym_a;Glo;1
Pte_g;Glo;1
Tor_d;Glo;0
Dip_a;Glo;1
Dip_b;Glo;1
Dip_c;Glo;1
Dip_d;Glo;0
Eul_d;Lae;176
Eul_f;Lae;76
Pla_a;Lae;25
Eur_b;Lae;0
Eul_a;Lae;19
Bra_a;Lae;14
Pte_a;Lae;9
Tor_a;Lae;2
Eul_c;Lae;0
Eup_a;Lae;7
Pte_d;Lae;1
Tor_b;Lae;13
Pte_c;Lae;0
Eul_h;Lae;1
Pte_b;Lae;7
Aph_b;Lae;0
Bra_b;Lae;1
Pte_e;Lae;2
Eup_b;Lae;3
Eul_b;Lae;0
Eul_g;Lae;0
Eul_i;Lae;0
Eup_c;Lae;1
Pte_f;Lae;0
Aph_a;Lae;0
Enc_a;Lae;1
Enc_b;Lae;0
Eul_e;Lae;0
Eur_a;Lae;1
Fig_a;Lae;0
Mym_a;Lae;0
Pte_g;Lae;0
Tor_d;Lae;1
Dip_a;Lae;0
Dip_b;Lae;0
Dip_c;Lae;0
Dip_d;Lae;1
