Interacao;Morfotipo;Frequencia
Ci_Glo;Bra_a;4
Ci_Glo;Bra_b;1
Ci_Glo;Dip_a;1
Ci_Glo;Dip_b;1
Ci_Glo;Enc_b;1
Ci_Glo;Eul_f;1
Ci_Glo;Eul_h;2
Ci_Glo;Eul_i;1
Ci_Glo;Eup_a;4
Ci_Glo;Eup_c;1
Ci_Glo;Pla_a;11
Ci_Glo;Pte_c;9
Ci_Glo;Pte_d;8
Ci_Glo;Pte_e;2
Ci_Glo;Pte_f;2
Ci_Glo;Tor_a;5
Ef_Glo;Aph_a;1
Ef_Glo;Aph_b;5
Ef_Glo;Bra_a;3
Ef_Glo;Bra_b;3
Ef_Glo;Eul_a;1
Ef_Glo;Eup_a;1
Ef_Glo;Pla_a;14
Ef_Glo;Pte_d;4
Ef_Glo;Pte_g;1
Ef_Glo;Tor_a;2
Ep_Glo;Dip_c;1
Ep_Glo;Eul_a;6
Ep_Glo;Eul_c;12
Ep_Glo;Eul_d;4
Ep_Glo;Eul_f;3
Ep_Glo;Eul_h;5
Ep_Glo;Fig_a;1
Ep_Glo;Pla_a;18
Ep_Glo;Pte_a;1
Ep_Glo;Pte_d;1
Ge_Glo;Eul_f;1
Ge_Glo;Eup_a;1
Ge_Glo;Eur_b;40
Ge_Glo;Tor_a;1
Ne_Glo;Eul_a;1
Ne_Glo;Eul_e;1
Ne_Glo;Eul_g;2
Ne_Glo;Eul_i;1
Ne_Glo;Pte_c;1
Ra_Glo;Bra_a;2
Ra_Glo;Eul_a;6
Ra_Glo;Eul_b;3
Ra_Glo;Eul_c;4
Ra_Glo;Eul_d;37
Ra_Glo;Eul_f;40
Ra_Glo;Eup_a;1
Ra_Glo;Eup_b;1
Ra_Glo;Mym_a;1
Ra_Glo;Pte_a;10
Ra_Glo;Pte_e;1
Ra_Glo;Tor_a;8
Co_Lae;Eul_f;3
Ef_Lae;Bra_a;14
Ef_Lae;Bra_b;1
Ef_Lae;Enc_a;1
Ef_Lae;Eul_h;1
Ef_Lae;Eup_a;3
Ef_Lae;Eup_b;1
Ef_Lae;Eup_c;1
Ef_Lae;Eur_a;1
Ef_Lae;Pla_a;23
Ef_Lae;Pte_d;1
Ef_Lae;Pte_e;1
Ef_Lae;Tor_a;1
Ep_Lae;Dip_d;1
Ep_Lae;Eul_a;3
Ne_Lae;Eul_a;5
Ne_Lae;Eul_f;2
Ne_Lae;Tor_b;1
Ra_Lae;Eul_a;11
Ra_Lae;Eul_d;176
Ra_Lae;Eul_f;71
Ra_Lae;Eup_a;4
Ra_Lae;Eup_b;2
Ra_Lae;Pla_a;2
Ra_Lae;Pte_a;9
Ra_Lae;Pte_b;7
Ra_Lae;Pte_e;1
Ra_Lae;Tor_a;1
Ra_Lae;Tor_b;12
Ra_Lae;Tor_d;1
