Morfotipo;Interacao;Frequencia
Bra_a;Ci_Glo;4
Bra_b;Ci_Glo;1
Dip_a;Ci_Glo;1
Dip_b;Ci_Glo;1
Enc_b;Ci_Glo;1
Eul_f;Ci_Glo;1
Eul_h;Ci_Glo;2
Eul_i;Ci_Glo;1
Eup_a;Ci_Glo;4
Eup_c;Ci_Glo;1
Pla_a;Ci_Glo;11
Pte_c;Ci_Glo;9
Pte_d;Ci_Glo;8
Pte_e;Ci_Glo;2
Pte_f;Ci_Glo;2
Tor_a;Ci_Glo;5
Aph_a;Ef_Glo;1
Aph_b;Ef_Glo;5
Bra_a;Ef_Glo;3
Bra_b;Ef_Glo;3
Eul_a;Ef_Glo;1
Eup_a;Ef_Glo;1
Pla_a;Ef_Glo;14
Pte_d;Ef_Glo;4
Pte_g;Ef_Glo;1
Tor_a;Ef_Glo;2
Dip_c;Ep_Glo;1
Eul_a;Ep_Glo;6
Eul_c;Ep_Glo;12
Eul_d;Ep_Glo;4
Eul_f;Ep_Glo;3
Eul_h;Ep_Glo;5
Fig_a;Ep_Glo;1
Pla_a;Ep_Glo;18
Pte_a;Ep_Glo;1
Pte_d;Ep_Glo;1
Eul_f;Ge_Glo;1
Eup_a;Ge_Glo;1
Eur_b;Ge_Glo;40
Tor_a;Ge_Glo;1
Eul_a;Ne_Glo;1
Eul_e;Ne_Glo;1
Eul_g;Ne_Glo;2
Eul_i;Ne_Glo;1
Pte_c;Ne_Glo;1
Bra_a;Ra_Glo;2
Eul_a;Ra_Glo;6
Eul_b;Ra_Glo;3
Eul_c;Ra_Glo;4
Eul_d;Ra_Glo;37
Eul_f;Ra_Glo;40
Eup_a;Ra_Glo;1
Eup_b;Ra_Glo;1
Mym_a;Ra_Glo;1
Pte_a;Ra_Glo;10
Pte_e;Ra_Glo;1
Tor_a;Ra_Glo;8
Eul_f;Co_Lae;3
Bra_a;Ef_Lae;14
Bra_b;Ef_Lae;1
Enc_a;Ef_Lae;1
Eul_h;Ef_Lae;1
Eup_a;Ef_Lae;3
Eup_b;Ef_Lae;1
Eup_c;Ef_Lae;1
Eur_a;Ef_Lae;1
Pla_a;Ef_Lae;23
Pte_d;Ef_Lae;1
Pte_e;Ef_Lae;1
Tor_a;Ef_Lae;1
Dip_d;Ep_Lae;1
Eul_a;Ep_Lae;3
Eul_a;Ne_Lae;5
Eul_f;Ne_Lae;2
Tor_b;Ne_Lae;1
Eul_a;Ra_Lae;11
Eul_d;Ra_Lae;176
Eul_f;Ra_Lae;71
Eup_a;Ra_Lae;4
Eup_b;Ra_Lae;2
Pla_a;Ra_Lae;2
Pte_a;Ra_Lae;9
Pte_b;Ra_Lae;7
Pte_e;Ra_Lae;1
Tor_a;Ra_Lae;1
Tor_b;Ra_Lae;12
Tor_d;Ra_Lae;1
